Category;ProductNaam;ProductNaamEngels;Eenheid;EenheidGewicht;Energie;Eiwit;Koolhydraat;VetTotaal;VetVerzadigd;VetOnverzadigd;VetzurenTrans;Linolzuur;Cholesterol;Alcohol;Vezels;Na;Ca;Fe;Mg;Se;Zn;K;P;VitamineA;VitamineB1;VitamineB2;VitamineB6;VitamineB12;VitamineC;VitamineD;VitamineE;Foliumzuur;Nicotz;totMdisac;totPdisac;eiwitP;PEiw,,,
Aardappel, rijst, pasta;Aardappelen gebakken mz;Potatoes baked mz;portie;100;113;2;16;5;2;3;0;1.4;0;0;2.9;150;8;0.6;17;0;0.24;416;53;48;0.08;0.05;0.24;0;8;0.4;0.1;11;0.4;1;14.8;9;25.2,
Aardappel, rijst, pasta;Aardappelen gebakken zz;Potatoes baked zz;portie;100;113;2;16;5;2;3;0;1.4;0;0;2.9;20;8;0.6;17;0;0.24;416;53;48;0.08;0.05;0.24;0;8;0.4;0.1;11;0.4;1;14.8;9;25.2,
Aardappel, rijst, pasta;Aardappelen gekookt mz;Potatoes cooked mz;middel;70;76;2;17;0;0;0;0;0;0;0;3.1;150;9;0.6;18;0;0.25;441;57;0;0.09;0.05;0.25;0;8;0;0.1;9;0.4;1.1;15.7;9;24.8,
Aardappel, rijst, pasta;Aardappelen gekookt zz;Potatoes cooked zz;middel;70;76;2;17;0;0;0;0;0;0;0;3.1;2;9;0.6;18;0;0.25;441;57;0;0.09;0.05;0.25;0;8;0;0.1;9;0.4;1.1;15.7;9;24.8,
Aardappel, rijst, pasta;Aardappelen nieuwe rauw;Raw new potatoes;middel;70;84;2;19;0;0;0;0;0;0;0;3.1;2;6;0.5;14;1;0.2;450;60;0;0.12;0.04;0.3;0;25;0;0.1;23;1.2;1;18;8;30,
Aardappel, rijst, pasta;Aardappelen oude rauw;Old raw potatoes;middel;70;84;2;19;0;0;0;0;0;0;0;3.1;2;6;0.5;17;1;0.3;450;60;1;0.12;0.04;0.22;0;5;0;0.1;23;1.2;1;18;8;30,
Aardappel, rijst, pasta;Aardappelen rauw;Raw potatoes;middel;70;84;2;19;0;0;0;0;0;0;0;3.1;2;6;0.5;22;;0.37;450;60;1;0.12;0.04;0.3;0;14;0;;23;;1;18;8;30,
Aardappel, rijst, pasta;Aardappelkroketten diepv b;Potato Croquettes freezer prepared;stuks;28;235;3;28;12;5;7;0.6;2.5;1;0;3.2;466;44;0.9;;;;360;49;15;0.08;0.08;0.26;0;5;;;1;;0.9;27.3;14;14.4,
Aardappel, rijst, pasta;Aardappelpuree bereid mz;Mashed potatoes prepared mz;aardappellepel;50;82;3;15;2;1;1;0;0.4;1;0;2.5;150;28;0.5;17;0;0.27;387;62;16;0.08;0.07;0.21;0.07;7;0.1;0.2;8;0.3;1.7;12.9;8;24.8,
Aardappel, rijst, pasta;Aardappelpuree bereid zz;Mashed potatoes prepared zz;aardappellepel;50;82;3;15;2;1;1;0;0.4;1;0;2.5;14;28;0.5;17;0;0.27;387;62;16;0.08;0.07;0.21;0.07;7;0.1;0.2;8;0.3;1.7;12.9;8;24.8,
Aardappel, rijst, pasta;Aardappelpuree instant ber;Instant mashed potatoes prepared;aardappellepel;50;57;1;13;0;0;0;0;0;0;0;0.8;75;45;0.3;11;0;0.19;300;80;16;0.04;0.65;0.2;0.66;1;0;0;3;1;0.4;12.1;6;57.1,
Aardappel, rijst, pasta;Aardappelpureepoeder;Mashed potato powder;zak;130;347;10;72;2;1;1;0;0.3;0;0;5.5;160;21;1.6;70;1;1.2;1.7;370;0;0.13;0.22;1.7;0;5;0;0.4;9;6.6;0;71.8;38;38.5,
Aardappel, rijst, pasta;Aardappelschijfjes diepv frit;Potato Slices diepv frit;portie;100;223;3;28;11;5;6;0.6;2.2;1;0;3.2;150;15;0.9;28;;0.28;800;100;0;0.14;0.07;0.44;0;7;;;14;3.1;0.2;27.8;12;32.3,
Aardappel, rijst, pasta;Aardappelschijfjes diepv onb;Potato Slices diepv IDIS;aardappellepel;50;137;2;21;5;3;2;0.5;0.5;1;0;3.2;10;6;0.5;;;;350;60;0;0.1;0.05;0.3;0;10;0;;16;;1;20;8;30,
Aardappel, rijst, pasta;Bakbanaan plantain onrijp r;Unripe plantain plantain r;eetlepel punt;45;144;1;35;0;0;0;0;0;0;0;0.4;5;10;0.8;;;;385;40;0;0.07;0.04;0.3;0;12;0;;16;0.5;8;27;4;40,
Aardappel, rijst, pasta;Bakbanaan rauw;Raw plantain;stuks;430;132;1;32;0;0;0;0;0;0;0;0.5;1;8;0.8;33;;0.14;358;34;0;0.06;0.04;0.36;0;20;0;;10;0.6;25;7;4;34,
Aardappel, rijst, pasta;Bataat zoet rauw;Fresh raw sweet potato;middel;130;93;1;21;0;0;0;0;0.1;0;0;2.4;40;24;0.7;18;1;0.3;370;50;715;0.17;0;0.09;0;23;0;0.3;15;0.5;5.7;15.6;5;41.7,
Aardappel, rijst, pasta;Cassave rauw;Raw cassava;stuks;100;151;1;37;0;0;0;0;0;0;0;1.7;5;18;0.5;21;;0.6;330;34;0;0.06;0.02;0.3;0;31;0;;17;0.5;1.5;35.3;2;56.7,
Aardappel, rijst, pasta;Couscous onbereid;Uncooked couscous;groentelepel punt;9;347;13;72;1;0;0;0;0.3;0;0;5;10;24;1.1;44;;0.83;166;170;0;0.16;0.08;0.11;0;0;0;;20;3.5;0.7;71.7;51;13.3,
Aardappel, rijst, pasta;Frites voorgebakken;For baked fries;portie;150;141;3;22;5;2;2;0.4;0.4;0;0;3.2;40;15;0.9;28;2;0.28;800;100;0;0.14;0.07;0.4;0;6;0;0.7;16;3.1;1;21;12;33.3,
Aardappel, rijst, pasta;Fusilli gekookt mz;Cooked fusilli mz;groentelepel punt;45;94;3;19;1;0;0;0;0.2;0;0;0.6;150;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Fusilli gekookt zz;Cooked fusilli zz;groentelepel punt;45;94;3;19;1;0;0;0;0.2;0;0;0.6;2;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Fusilli rauw;Raw fusilli;portie;100;350;12;71;2;0;2;0;0.7;0;0;2;5;15;2;57;16;1.6;100;125;0;0.1;0.06;0.08;0;0;0;0;8;2;5;66;48;10.4,
Aardappel, rijst, pasta;Gierst onbereid;Uncooked millet;kopje;120;364;11;71;4;1;3;0;1.6;0;0;3;3;25;4.8;100;2;1.7;280;300;0;0.26;0.14;0;0;0;0;0.3;30;1.8;0;71;44;27.3,
Aardappel, rijst, pasta;Lasagne rauw;Raw lasagna;stuks;18;350;12;71;2;0;2;0;0.7;0;0;2;5;15;2;57;16;1.6;100;125;0;0.1;0.06;0.08;0;0;0;0;8;2;5;66;48;10.4,
Aardappel, rijst, pasta;Macaroni gekookt mz;Macaroni cooked mz;groentelepel punt;45;94;3;19;1;0;0;0;0.2;0;0;0.6;150;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Macaroni gekookt zz;Macaroni cooked zz;groentelepel punt;45;94;3;19;1;0;0;0;0.2;0;0;0.6;2;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Macaroni onbereid;Uncooked macaroni;portie;100;350;12;71;2;0;2;0;0.7;0;0;2;5;15;2;57;16;1.6;100;125;0;0.1;0.06;0.08;0;0;0;0;8;2;5;66;48;10.4,
Aardappel, rijst, pasta;Macaroni volkoren rauw;Whole wheat macaroni raw;portie;100;314;11;62;3;0;2;0;1;0;0;11;0;40;3.3;120;53;3;500;405;0;0.48;0.14;0.4;0;0;0;0.3;7;6.2;2.3;59.8;44;36.8,
Aardappel, rijst, pasta;Mie gekookt mz;Noodles cooked mz;tang;115;94;3;19;1;0;0;0;0.2;0;0;0.6;150;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Mie gekookt zz;Noodles cooked zz;tang;115;94;3;19;1;0;0;0;0.2;0;0;0.6;2;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Mie rauw;Mie raw;bolletje;40;350;12;71;2;0;2;0;0.7;0;0;2;5;15;2;57;16;1.6;100;125;0;0.1;0.06;0.08;0;0;0;0;8;2;5;66;48;10.4,
Aardappel, rijst, pasta;Miehoen gekookt mz;Miehoen cooked mz;groentelepel punt;55;147;3;33;0;0;0;0;0.1;0;0;0.5;150;14;0.4;7;1;0.49;17;40;0;0.02;0;0.03;0;0;0;0.1;21;0.9;0;32.7;12;12.9,
Aardappel, rijst, pasta;Miehoen gekookt zz;Miehoen cooked zz;groentelepel punt;55;147;3;33;0;0;0;0;0.1;0;0;0.5;3;14;0.4;7;1;0.49;17;40;0;0.02;0;0.03;0;0;0;0.1;21;0.9;0;32.7;12;12.9,
Aardappel, rijst, pasta;Miehoen rauw;Miehoen raw;zak;250;349;7;78;1;0;1;0;0.4;0;0;1.3;2;10;0.4;13;10;1.3;100;100;0;0.04;0.03;0.12;0;0;0;0.1;20;1;0;78;28;14.3,
Aardappel, rijst, pasta;Ovenfrites bereid;Oven Fries prepared;portie;150;193;4;30;7;3;4;0.3;1.4;0;0;3.6;35;16;0.6;31;1;0.45;594;120;0;0.11;0.07;0.66;0;3;0;0.2;14;3.1;0.4;29.1;15;32.4,
